surname,eg
GATONI,kikuyu
NGULE,kikuyu
KARANJA,kikuyu
SHIRO,luhya
KILUNDA,kamba
MWAURA,kikuyu
WANGUI,kikuyu
NJUGUNA,kikuyu
HARON,kikuyu
NGANGA,kikuyu
MAWIA,kamba
NJANJA,kikuyu
MWANGI,kikuyu
C,kalenjin
KIPTOO,kalenjin
CHEPTARUS,kalenjin
AJIKWA,kalenjin
KEMBOI,kalenjin
KOMEN,kalenjin
KISANG,kalenjin
KIRWA,kalenjin
CHALANG,kalenjin
GITAU,kikuyu
MUTHONI,kikuyu
AMAGOVE,luhya
ONSONGO,kisii
MORAA,kisii
NJERI,kikuyu
AWUOR,luo
NGULI,kamba
KIPLAGAT,kalenjin
WANGARI,kalenjin
KIMELI,kalenjin
CHERUIYOT,kalenjin
MAGARA,luo
AMORO,kisii
MWONGELI,kamba
MWANZIA,kamba
NAMAI,kamba
WANGUI,kikuyu
OKINDO,kisii
KWAMBOKA,kisii
ATIENO,luo
WANZA,kamba
WANJIKU,kikuyu
KWAMBOKA,kisii
KEMUNTO,kisii
ODHIAMBO,luo
NTHAMBI,kamba
KIPTOO,kalenjin
JOHN,kalenjin
JEPCHUMBA,kalenjin
SOBA,kikuyu
MWANIA,kamba
MBAI,kamba
MUTUNGA,kamba
CHERUIYOT,kalenjin
CHIRCHIR,kalenjin
MULI,kamba
MAERA,kisii
ATIENO,luo
MOSETI,kisii
KIMANI,kikuyu
AWUOR,luo
ACHIENG,luo
ATIENO,luhya
LUDENDO,luhya
ACHIENG,luo
NDEGWA,kikuyu
WAMBUA,kamba
MULWA,kamba
NJUGUNA,kikuyu
KIMANI,kikuyu
KIMANI,kikuyu
MUIRURI,kikuyu
MUNGAI,kikuyu
SYOKI,kamba
MWASYIA,kamba
KIPTOO,kalenjin
OKOLA,luo
MUSYOKI,kamba
MULAA,kamba
CHEBII,kalenjin
MUTINDA,kamba
SAIDI,mijikenda
MWANGI,kikuyu
CHELANGAT,kalenjin
CHEPYEGON,kalenjin
RONYA,mijikenda
MWINYI,mijikenda
DAVID,kamba
KABUKO,meru
MUTISO,kamba
ANYANGO,luo
KIRUI,kalenjin
MWENDWA,kamba
MORAA,kisii
ANYANGO,luo
ATIENO,luo
KUSEMA,mijikenda
MWABILA,mijikenda
KINYA,meru
KIPTOO,kalenjin
OPIYO,kisii
AKOTH,luo
AWUOR,luo
MWENI,kamba
TWIGA,embu
HAMISHI,mijikenda
KIPTUM,kalenjin
KEMBOI,kalenjin
WAYUA,kamba
MATIMO,kamba
KITHINJI,meru
ACHIENG,luo
ONDIGI,kisii
SAID,mijikenda
MACHOKA,kisii
MUHAMED,mijikenda
OCHIENG,luo
KAWIRA,meru
MALII,kamba
NYANGAU,kisii
MUTHONI,kikuyu
MWANIKI,kikuyu
GITHUI,kikuyu
MAINA,kikuyu
JUMA,mijikenda
JUMA,kikuyu
NJORO,meru
MUCHIRI,kikuyu
WANGUI,kikuyu
KARAJA,kikuyu
OKEMWA,kisii
KINA,embu
KANINI,kamba
KATHEKE,kamba
MUREKE,meru
OWINO,luhya
MWIKALI,kamba
SHELAMIN,kamba
HAMISI,mijikenda
KIPTON,kalenjin
IMENZA,luhya
ONDITI,luo
MSCHOKA,kisii
WANJA,embu
MOKI,kamba
BOSIRE,kisii
MALONZA,kamba
RICHARD,kamba
KERUBO,kisii
MOMANYI,kisii
MURUGI,embu
TOMASIAN,kalenjin
MUTHONI,embu
MURIML,luhya
ABUNG'ANA,luhya
INGOSI,luhya
MACHEKA,luhya
ONDIEKI,luhya
AMBULI,luhya
TERRA,luhya
OMENDA,luhya
MASESI,kamba
KIEMA,kamba
MBINYA,kamba
KAVENGI,kamba
MUANGE,kamba
KIOKO,kamba
TERESIA,kamba
MUTHANU,kamba
WANJIKU,kikuyu
KARIMI,embu
MBITHE,kamba
MURITHI,embu
MOKEBE,kamba
AWINO,luo
NZEMBI,kamba
ACHIENG,luo
KYALO,kamba
OCHIENG',luo
MUMBU,kamba
KAILU,meru
MAYAKA,kisii
MUTUA,kamba
MUMBUA,kamba
OTIENO,luo
NYAGA,embu
KOKA,kamba
MUTINDI,kamba
NYAKUNDI,kisii
AKINYI,luo
MUTAVE,kamba
GITIYE,meru
MUTHONI,embu
NDENGA,kamba
KAVATA,kamba
KAMENE,kamba
NDEGWA,kikuyu
ONYANCHA,kisii
MOSOTI,kisii
ATUTI,kisii
ORIEKO,kisii
BOSOBORI,kisii
MWENDA,embu
MWANGI,kikuyu
MAWEA,kamba
WANJUGU,kikuyu
NJOROGE,kikuyu
MUTHONI,kikuyu
OWERA,luo
WAYUA,kamba
MULWA,kamba
WAIGWA,kikuyu
NYANCHMA,kisii
AUMA,luo
KALULU,meru
WEKESA,luhya
NYAKUNDI,kisii
NJOROGE,kikuyu
NGOIRI,kikuyu
WANGUI,kikuyu
WANJIRA,kikuyu
WANJIRU,kikuyu
MALEU,kamba
MARY,kisii
AWUOR,luo
MWIKALI,kamba
MUNYAO,kamba
NDAMBUI,kamba
OCHIENG',luo
JUMA,luo
MUKOMWA,meru
NGONYO,kamba
MUTUKU,kamba
OMAR,bajuni
ALI,swahili
ABDALA,bajuni
ATIENO,luo
ACHIENG,luo
NAMASAKA,luhya
NELIMA,luhya
WEKESA,luhya
KISIANGANI,luhya
N,luhya
NAFULA,luhya
NAMALWA,luhya
ORAGE,luo
KAHINDI,mijikenda
KALUKI,kamba
MWIRICHIA,meru
DARIZO,luhya
KWABI,luhya
SYOKAO,kamba
WELUNGA,mijikenda
MICHAEL,luhya
OMONDI,luo
MUSILA,luhya
SHIUNDU,luhya
NAMBIA,luhya
NAPOLIA,luhya
AGOSI,luhya
AMBIYO,luhya
ANYIKA,luhya
